age,workclass,fnlgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
59,Private,790562,5th-6th,12,Married-AF-spouse,Transport-moving,Wife,Black,Male,16939,0,44,Mexico,>50K
75,Never-worked,1419688,12th,16,Married-civ-spouse,Sales,Other-relative,Amer-Indian-Eskimo,Female,0,0,17,Cambodia,<=50K
17,Local-gov,720181,Doctorate,10,Separated,Farming-fishing,Not-in-family,Other,Male,92010,0,24,India,>50K
84,Without-pay,190163,11th,3,Married-spouse-absent,Craft-repair,Other-relative,White,Female,0,1823,76,England,<=50K
70,Self-emp-inc,1110488,Prof-school,11,Married-AF-spouse,Priv-house-serv,Other-relative,Other,Female,0,0,31,Cambodia,<=50K
27,Private,1404957,12th,16,Separated,Handlers-cleaners,Other-relative,Asian-Pac-Islander,Female,0,2408,92,Puerto-Rico,<=50K
61,Federal-gov,220213,10th,13,Never-married,Farming-fishing,Unmarried,White,Male,84632,0,27,Philippines,>50K
63,Private,193419,Preschool,15,Separated,Adm-clerical,Wife,Other,Male,0,0,81,Canada,>50K
87,Federal-gov,481299,9th,5,Separated,Tech-support,Own-child,Amer-Indian-Eskimo,Male,73821,0,39,Cuba,>50K
81,State-gov,434455,Bachelors,1,Married-spouse-absent,Priv-house-serv,Wife,White,Male,0,0,64,India,<=50K
66,Never-worked,1296804,HS-grad,2,Married-civ-spouse,Sales,Own-child,Amer-Indian-Eskimo,Female,85433,0,2,Cuba,>50K
64,Never-worked,65810,9th,5,Married-civ-spouse,Tech-support,Wife,White,Male,60591,3491,24,Puerto-Rico,>50K
34,Private,1007665,1st-4th,14,Married-spouse-absent,Armed-Forces,Unmarried,White,Male,0,3571,44,United-States,<=50K
31,Private,197886,Assoc-voc,8,Widowed,Machine-op-inspct,Not-in-family,Other,Male,0,0,16,Mexico,<=50K
20,Self-emp-not-inc,35435,5th-6th,12,Divorced,Craft-repair,Other-relative,Amer-Indian-Eskimo,Male,0,0,7,India,<=50K
20,Self-emp-not-inc,1327608,Bachelors,1,Separated,Farming-fishing,Husband,White,Female,9172,0,97,India,<=50K
56,Without-pay,390668,Assoc-voc,8,Widowed,Protective-serv,Not-in-family,Amer-Indian-Eskimo,Female,24828,0,42,India,>50K
68,Self-emp-inc,978058,7th-8th,9,Separated,Armed-Forces,Wife,White,Female,0,1759,47,Cambodia,<=50K
88,Self-emp-not-inc,1422402,HS-grad,2,Divorced,Craft-repair,Own-child,Other,Female,0,0,96,Canada,>50K
46,Without-pay,335831,11th,3,Married-AF-spouse,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,0,0,47,Cambodia,<=50K
23,Local-gov,534092,Masters,4,Separated,Adm-clerical,Other-relative,Amer-Indian-Eskimo,Male,0,0,25,Mexico,<=50K
57,Self-emp-not-inc,653950,Some-college,6,Separated,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,51273,0,87,Cambodia,>50K
79,Local-gov,1103287,Preschool,15,Separated,Sales,Other-relative,Asian-Pac-Islander,Female,51928,0,5,Cambodia,>50K
22,Without-pay,1264885,Bachelors,1,Married-spouse-absent,Tech-support,Wife,Asian-Pac-Islander,Male,0,0,31,United-States,<=50K
82,Private,661769,5th-6th,12,Married-spouse-absent,Farming-fishing,Unmarried,Amer-Indian-Eskimo,Female,0,0,66,Cambodia,>50K
43,Local-gov,1438142,7th-8th,9,Married-civ-spouse,Armed-Forces,Husband,Other,Female,31095,0,70,Mexico,<=50K
84,State-gov,508439,Assoc-acdm,7,Married-civ-spouse,Farming-fishing,Own-child,Other,Male,0,0,41,Philippines,<=50K
89,Never-worked,839282,Preschool,15,Divorced,Priv-house-serv,Other-relative,Black,Male,0,1952,39,Puerto-Rico,>50K
77,Without-pay,73346,HS-grad,2,Separated,Handlers-cleaners,Husband,Black,Female,0,1063,93,United-States,<=50K
33,Self-emp-not-inc,446584,Prof-school,11,Divorced,Handlers-cleaners,Unmarried,Amer-Indian-Eskimo,Male,0,0,24,Philippines,<=50K
79,State-gov,839585,1st-4th,14,Widowed,Prof-specialty,Other-relative,Other,Male,0,0,73,Germany,>50K
41,Never-worked,1268584,Preschool,15,Never-married,Handlers-cleaners,Not-in-family,Other,Male,0,0,90,Puerto-Rico,>50K
25,Without-pay,583716,Doctorate,10,Never-married,Adm-clerical,Husband,Black,Male,0,0,98,Cuba,<=50K
63,Federal-gov,276129,Prof-school,11,Married-civ-spouse,Exec-managerial,Own-child,White,Female,0,0,44,Canada,>50K
27,Local-gov,854987,9th,5,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0,3107,79,India,>50K
51,Never-worked,1145011,Preschool,15,Widowed,Protective-serv,Not-in-family,Other,Female,0,0,85,United-States,<=50K
54,State-gov,1216118,HS-grad,2,Separated,Farming-fishing,Not-in-family,Black,Male,41683,467,16,Puerto-Rico,<=50K
70,Never-worked,1127975,1st-4th,14,Widowed,Exec-managerial,Wife,White,Female,0,3386,48,Philippines,>50K
79,Federal-gov,495987,12th,16,Married-AF-spouse,Sales,Husband,White,Male,0,0,53,Mexico,>50K
84,Federal-gov,1236003,9th,5,Divorced,Tech-support,Wife,Asian-Pac-Islander,Male,0,476,67,Mexico,<=50K
64,Without-pay,24089,5th-6th,12,Married-AF-spouse,Transport-moving,Other-relative,Asian-Pac-Islander,Male,0,0,10,India,<=50K
79,Federal-gov,18696,Masters,4,Married-AF-spouse,Machine-op-inspct,Own-child,Other,Male,2960,0,88,India,>50K
35,Self-emp-not-inc,629522,Prof-school,11,Married-spouse-absent,Machine-op-inspct,Husband,Other,Male,0,0,44,Canada,<=50K
37,Local-gov,1331197,HS-grad,2,Married-AF-spouse,Other-service,Other-relative,White,Male,0,0,80,Germany,<=50K
63,Self-emp-inc,1165627,12th,16,Never-married,Machine-op-inspct,Wife,White,Male,18668,0,73,India,>50K
45,Federal-gov,1373964,Bachelors,1,Divorced,Handlers-cleaners,Husband,White,Female,0,0,20,India,<=50K
39,Federal-gov,1445158,Bachelors,1,Widowed,Protective-serv,Husband,Amer-Indian-Eskimo,Female,88738,4191,50,Germany,<=50K
37,Self-emp-inc,1346731,12th,16,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Male,0,2306,73,England,<=50K
62,State-gov,49215,Doctorate,10,Never-married,Priv-house-serv,Own-child,Asian-Pac-Islander,Female,0,1511,1,Puerto-Rico,<=50K
57,Self-emp-inc,1190457,Bachelors,1,Widowed,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Male,47625,0,67,England,>50K
66,Never-worked,409308,1st-4th,14,Married-spouse-absent,Handlers-cleaners,Own-child,White,Male,0,0,32,Cuba,>50K
54,Never-worked,656263,10th,13,Married-civ-spouse,Tech-support,Unmarried,Black,Male,0,0,25,India,<=50K
88,Federal-gov,404602,HS-grad,2,Separated,Priv-house-serv,Own-child,White,Female,0,0,77,United-States,>50K
67,Federal-gov,320046,Preschool,15,Married-AF-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Female,0,0,11,Canada,>50K
28,Private,177308,1st-4th,14,Separated,Sales,Husband,White,Female,0,2400,46,Philippines,<=50K
36,Self-emp-not-inc,491865,7th-8th,9,Widowed,Sales,Unmarried,Amer-Indian-Eskimo,Male,0,0,33,England,<=50K
52,Private,748214,Preschool,15,Separated,Protective-serv,Other-relative,White,Female,0,0,3,Cuba,<=50K
17,Never-worked,292223,HS-grad,2,Married-spouse-absent,Tech-support,Wife,White,Male,0,0,56,England,<=50K
67,Without-pay,747049,Doctorate,10,Married-civ-spouse,Sales,Unmarried,Amer-Indian-Eskimo,Male,0,3906,98,Philippines,>50K
35,Self-emp-not-inc,1379164,9th,5,Separated,Handlers-cleaners,Unmarried,Other,Male,0,0,80,Cambodia,<=50K
57,Without-pay,180095,Some-college,6,Widowed,Exec-managerial,Own-child,Amer-Indian-Eskimo,Female,0,0,85,United-States,<=50K
42,Federal-gov,40322,5th-6th,12,Widowed,Other-service,Not-in-family,Other,Male,0,3217,32,Cambodia,<=50K
27,Local-gov,363585,Preschool,15,Married-civ-spouse,Transport-moving,Wife,Other,Male,0,0,12,Cuba,<=50K
17,Never-worked,36670,9th,5,Separated,Armed-Forces,Not-in-family,Amer-Indian-Eskimo,Female,0,0,87,Canada,<=50K
29,Local-gov,283341,7th-8th,9,Divorced,Transport-moving,Wife,Amer-Indian-Eskimo,Male,0,0,96,Philippines,<=50K
18,Private,898422,Masters,4,Divorced,Sales,Unmarried,Black,Male,0,0,55,Germany,<=50K
71,State-gov,804590,Assoc-acdm,7,Married-spouse-absent,Transport-moving,Not-in-family,Asian-Pac-Islander,Male,71760,0,91,Germany,>50K
17,Private,1196490,12th,16,Never-married,Machine-op-inspct,Husband,Amer-Indian-Eskimo,Male,9407,0,39,Cambodia,>50K
51,Self-emp-not-inc,547159,Prof-school,11,Married-AF-spouse,Sales,Own-child,Other,Female,91989,4284,24,England,<=50K
51,Never-worked,1103440,Some-college,6,Widowed,Protective-serv,Not-in-family,Asian-Pac-Islander,Female,0,0,72,Germany,<=50K
86,Local-gov,673243,10th,13,Married-civ-spouse,Transport-moving,Unmarried,Other,Male,86119,0,1,England,>50K
71,Federal-gov,46432,Assoc-acdm,7,Divorced,Armed-Forces,Unmarried,Asian-Pac-Islander,Male,71930,0,39,India,>50K
42,Local-gov,862241,Some-college,6,Widowed,Prof-specialty,Husband,White,Male,57577,0,7,England,>50K
44,Self-emp-inc,598431,Some-college,6,Married-spouse-absent,Craft-repair,Own-child,White,Female,0,0,94,Japan,<=50K
31,Private,715645,Masters,4,Married-spouse-absent,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0,0,47,Germany,<=50K
51,Federal-gov,398046,Bachelors,1,Married-civ-spouse,Tech-support,Wife,Amer-Indian-Eskimo,Female,0,0,49,Philippines,<=50K
34,Self-emp-inc,213496,HS-grad,2,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Male,77266,458,61,Cuba,>50K
86,Local-gov,118871,Some-college,6,Never-married,Craft-repair,Unmarried,Asian-Pac-Islander,Female,0,422,83,Mexico,>50K
46,Local-gov,787242,Doctorate,10,Divorced,Craft-repair,Own-child,Amer-Indian-Eskimo,Female,10666,0,52,Mexico,>50K
38,Without-pay,564423,5th-6th,12,Married-spouse-absent,Prof-specialty,Wife,Other,Female,0,0,93,Canada,>50K
34,Never-worked,1093382,HS-grad,2,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0,0,7,Canada,<=50K
34,Never-worked,1068844,11th,3,Married-civ-spouse,Priv-house-serv,Not-in-family,Black,Male,0,0,25,Puerto-Rico,<=50K
38,Self-emp-not-inc,66381,Masters,4,Married-AF-spouse,Craft-repair,Unmarried,White,Male,0,0,45,Germany,<=50K
56,Without-pay,658629,Assoc-acdm,7,Never-married,Craft-repair,Husband,White,Female,0,2099,94,Cambodia,>50K
44,Local-gov,1440193,11th,3,Divorced,Other-service,Own-child,Black,Female,0,684,1,Puerto-Rico,<=50K
61,Private,703941,Preschool,15,Married-AF-spouse,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Male,18723,0,81,Mexico,>50K
44,Federal-gov,1260746,5th-6th,12,Divorced,Priv-house-serv,Unmarried,Other,Female,0,0,6,Mexico,<=50K
62,Private,1129247,Prof-school,11,Widowed,Priv-house-serv,Other-relative,Asian-Pac-Islander,Female,0,0,63,Mexico,>50K
57,Never-worked,429592,Bachelors,1,Divorced,Protective-serv,Wife,Asian-Pac-Islander,Female,0,0,78,India,>50K
45,Self-emp-not-inc,1383716,Assoc-voc,8,Widowed,Exec-managerial,Husband,Other,Male,0,0,59,United-States,>50K
61,Never-worked,794037,Assoc-voc,8,Never-married,Machine-op-inspct,Own-child,White,Male,98617,0,97,Canada,>50K
82,State-gov,1127432,9th,5,Divorced,Armed-Forces,Husband,Amer-Indian-Eskimo,Male,0,0,93,Japan,<=50K
70,State-gov,598601,Some-college,6,Never-married,Protective-serv,Not-in-family,White,Male,0,3158,33,Canada,<=50K
64,Federal-gov,521435,Masters,4,Widowed,Prof-specialty,Husband,Amer-Indian-Eskimo,Female,12580,0,66,Cambodia,>50K
70,State-gov,465888,Prof-school,11,Married-civ-spouse,Protective-serv,Own-child,Black,Female,16240,4093,74,England,>50K
65,Self-emp-not-inc,204491,Preschool,15,Married-AF-spouse,Sales,Other-relative,White,Female,0,2939,90,Mexico,>50K
87,Local-gov,824398,Masters,4,Widowed,Transport-moving,Unmarried,Amer-Indian-Eskimo,Male,0,0,7,Puerto-Rico,<=50K
88,Local-gov,606718,5th-6th,12,Separated,Farming-fishing,Not-in-family,White,Male,0,3811,60,Puerto-Rico,>50K
29,Never-worked,1272799,Assoc-voc,8,Married-spouse-absent,Exec-managerial,Own-child,Black,Male,0,0,80,Puerto-Rico,>50K
34,Federal-gov,1370055,10th,13,Married-AF-spouse,Protective-serv,Own-child,Black,Male,0,3245,75,England,>50K
24,Federal-gov,943826,10th,13,Separated,Farming-fishing,Own-child,Other,Male,0,0,46,India,<=50K
46,Self-emp-inc,337658,Some-college,6,Widowed,Priv-house-serv,Own-child,Black,Male,0,0,33,Canada,<=50K
26,Without-pay,360969,10th,13,Married-civ-spouse,Farming-fishing,Other-relative,Other,Female,0,1962,29,England,<=50K
28,Private,641126,12th,16,Never-married,Adm-clerical,Unmarried,Black,Female,0,303,14,India,<=50K
35,Self-emp-inc,720551,10th,13,Married-AF-spouse,Sales,Not-in-family,Amer-Indian-Eskimo,Female,71086,0,16,Canada,>50K
57,Self-emp-not-inc,757140,7th-8th,9,Never-married,Farming-fishing,Other-relative,Other,Female,0,0,51,Cambodia,>50K
66,State-gov,187936,HS-grad,2,Married-AF-spouse,Exec-managerial,Own-child,Asian-Pac-Islander,Female,0,0,37,Japan,<=50K
42,Self-emp-inc,1183746,10th,13,Widowed,Priv-house-serv,Unmarried,Black,Male,0,0,74,Japan,<=50K
29,Federal-gov,342274,10th,13,Married-AF-spouse,Sales,Wife,Amer-Indian-Eskimo,Male,0,0,31,Germany,<=50K
21,Local-gov,90576,9th,5,Divorced,Tech-support,Wife,Amer-Indian-Eskimo,Male,0,0,64,Mexico,<=50K
41,Self-emp-not-inc,51205,1st-4th,14,Divorced,Tech-support,Unmarried,Asian-Pac-Islander,Male,0,1981,5,Cambodia,<=50K
45,Local-gov,1109842,Assoc-acdm,7,Widowed,Sales,Own-child,Other,Female,0,0,46,Puerto-Rico,<=50K
47,Self-emp-not-inc,942606,Some-college,6,Divorced,Farming-fishing,Other-relative,Black,Female,0,0,16,Cambodia,<=50K
77,Private,604977,Bachelors,1,Widowed,Armed-Forces,Unmarried,White,Male,0,1954,39,England,<=50K
86,Never-worked,1434096,Preschool,15,Married-AF-spouse,Handlers-cleaners,Own-child,Other,Female,0,0,25,Mexico,>50K
58,State-gov,831752,Bachelors,1,Never-married,Priv-house-serv,Husband,Other,Female,0,215,59,Canada,<=50K
62,Self-emp-inc,441130,Assoc-voc,8,Never-married,Sales,Other-relative,White,Male,0,0,74,England,<=50K
55,Self-emp-not-inc,480347,11th,3,Separated,Machine-op-inspct,Not-in-family,Other,Male,0,0,21,India,<=50K
73,State-gov,1169907,Preschool,15,Divorced,Priv-house-serv,Unmarried,White,Female,0,3661,47,United-States,<=50K
32,Federal-gov,883627,Some-college,6,Separated,Other-service,Own-child,Other,Female,21409,0,21,Cambodia,<=50K
55,Self-emp-not-inc,127757,Assoc-acdm,7,Married-civ-spouse,Farming-fishing,Unmarried,White,Female,0,0,52,Puerto-Rico,<=50K
36,Never-worked,920401,Some-college,6,Never-married,Other-service,Other-relative,Black,Female,0,434,11,United-States,<=50K
50,Local-gov,618099,HS-grad,2,Married-civ-spouse,Other-service,Unmarried,Black,Male,10341,0,15,Cuba,<=50K
20,Self-emp-not-inc,609082,Assoc-voc,8,Married-civ-spouse,Exec-managerial,Husband,Black,Female,57685,3511,17,Mexico,>50K
40,Federal-gov,801891,12th,16,Separated,Exec-managerial,Unmarried,Black,Female,0,0,47,Cambodia,>50K
40,Self-emp-not-inc,299493,Prof-school,11,Married-AF-spouse,Craft-repair,Other-relative,Black,Female,0,0,41,Canada,<=50K
75,State-gov,576021,Assoc-acdm,7,Married-AF-spouse,Priv-house-serv,Unmarried,Other,Female,0,0,95,India,<=50K
50,Self-emp-inc,992225,Assoc-acdm,7,Never-married,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,0,0,10,Puerto-Rico,<=50K
53,State-gov,1453098,11th,3,Never-married,Protective-serv,Own-child,Other,Male,75816,0,52,Philippines,>50K
84,Self-emp-not-inc,900923,12th,16,Married-civ-spouse,Farming-fishing,Unmarried,White,Male,94551,0,91,Cuba,>50K
88,Private,929516,Doctorate,10,Married-civ-spouse,Armed-Forces,Other-relative,Black,Male,0,0,15,Philippines,<=50K
53,Self-emp-not-inc,705047,Masters,4,Separated,Tech-support,Not-in-family,Other,Male,33071,3827,37,Philippines,>50K
21,Self-emp-inc,1012012,Doctorate,10,Divorced,Handlers-cleaners,Other-relative,White,Female,0,1048,8,Cuba,<=50K
79,Without-pay,291162,10th,13,Married-AF-spouse,Adm-clerical,Unmarried,Black,Male,0,0,80,Germany,>50K
34,Local-gov,961456,Assoc-voc,8,Married-AF-spouse,Transport-moving,Not-in-family,Black,Female,0,0,13,Cambodia,<=50K
75,Self-emp-not-inc,1258522,Preschool,15,Married-civ-spouse,Sales,Other-relative,Asian-Pac-Islander,Male,0,104,52,Germany,<=50K
48,State-gov,874661,Assoc-voc,8,Divorced,Adm-clerical,Other-relative,White,Female,0,0,57,Germany,<=50K
55,Never-worked,330917,12th,16,Separated,Craft-repair,Not-in-family,White,Female,0,0,93,England,>50K
33,Without-pay,629374,Assoc-acdm,7,Married-AF-spouse,Sales,Wife,Amer-Indian-Eskimo,Male,99073,0,36,Canada,>50K
48,Self-emp-inc,65417,11th,3,Divorced,Machine-op-inspct,Husband,Black,Female,0,0,70,Germany,<=50K
55,Never-worked,590397,9th,5,Married-civ-spouse,Exec-managerial,Unmarried,Other,Male,0,0,1,Philippines,>50K
28,State-gov,807928,Preschool,15,Married-civ-spouse,Protective-serv,Unmarried,Amer-Indian-Eskimo,Male,39722,1938,7,Cambodia,>50K
38,Self-emp-inc,1189418,12th,16,Divorced,Machine-op-inspct,Own-child,White,Male,0,2935,13,Japan,<=50K
77,Self-emp-not-inc,1464135,7th-8th,9,Widowed,Priv-house-serv,Husband,Black,Male,12693,0,54,Canada,>50K
87,Never-worked,332723,7th-8th,9,Married-AF-spouse,Handlers-cleaners,Other-relative,Other,Female,0,0,28,Puerto-Rico,>50K
45,Private,145552,Masters,4,Married-spouse-absent,Craft-repair,Not-in-family,Other,Male,0,4054,60,United-States,<=50K
40,Self-emp-not-inc,1292211,Bachelors,1,Divorced,Sales,Unmarried,Black,Female,0,2893,86,Cuba,<=50K
34,Local-gov,85087,Bachelors,1,Never-married,Other-service,Unmarried,White,Female,0,0,90,England,<=50K
65,State-gov,1197017,7th-8th,9,Divorced,Machine-op-inspct,Other-relative,Black,Male,65188,2721,13,Puerto-Rico,>50K
23,Federal-gov,348182,HS-grad,2,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,53,Canada,<=50K
62,Self-emp-inc,288170,11th,3,Widowed,Other-service,Other-relative,White,Female,0,0,89,Cambodia,<=50K
85,Without-pay,291600,5th-6th,12,Married-spouse-absent,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,0,2213,43,Puerto-Rico,<=50K
24,Federal-gov,774745,12th,16,Separated,Protective-serv,Husband,Black,Female,0,0,71,Japan,<=50K
20,Local-gov,1472304,Doctorate,10,Married-civ-spouse,Handlers-cleaners,Husband,Black,Female,0,262,81,Japan,>50K
71,Without-pay,1356251,Prof-school,11,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,43,Japan,<=50K
66,Never-worked,1441353,10th,13,Widowed,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Male,0,0,73,Germany,>50K
55,Self-emp-not-inc,901775,Assoc-voc,8,Married-spouse-absent,Exec-managerial,Wife,Asian-Pac-Islander,Female,0,0,23,Philippines,<=50K
36,Local-gov,176757,5th-6th,12,Married-civ-spouse,Armed-Forces,Other-relative,White,Female,0,0,52,England,<=50K
70,Without-pay,264182,Preschool,15,Widowed,Priv-house-serv,Own-child,Other,Female,0,0,39,Puerto-Rico,<=50K
39,Federal-gov,201386,Masters,4,Widowed,Machine-op-inspct,Other-relative,Other,Female,0,0,77,India,<=50K
24,Without-pay,318662,5th-6th,12,Separated,Handlers-cleaners,Other-relative,Asian-Pac-Islander,Female,0,0,23,Germany,<=50K
45,State-gov,370499,Some-college,6,Married-AF-spouse,Transport-moving,Own-child,Asian-Pac-Islander,Female,0,0,44,Japan,<=50K
79,Self-emp-inc,1352386,9th,5,Divorced,Machine-op-inspct,Other-relative,White,Male,0,0,3,Philippines,<=50K
89,Federal-gov,924912,Doctorate,10,Separated,Protective-serv,Other-relative,Black,Male,0,2007,8,Japan,<=50K
59,Federal-gov,709394,Bachelors,1,Separated,Handlers-cleaners,Husband,Amer-Indian-Eskimo,Male,0,2798,97,Cambodia,<=50K
33,Self-emp-not-inc,1191991,5th-6th,12,Married-civ-spouse,Priv-house-serv,Other-relative,Black,Male,0,0,31,Cambodia,<=50K
71,Self-emp-inc,1235426,Assoc-acdm,7,Widowed,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,0,0,22,Cambodia,<=50K
31,State-gov,98222,Masters,4,Widowed,Armed-Forces,Other-relative,Amer-Indian-Eskimo,Female,0,0,19,Mexico,<=50K
33,Without-pay,1468944,11th,3,Divorced,Protective-serv,Unmarried,Other,Female,0,4352,42,England,<=50K
37,Self-emp-inc,1447204,12th,16,Separated,Sales,Wife,Amer-Indian-Eskimo,Male,0,1102,77,India,<=50K
